Player,Country,Games,Win_rate,KDA,Avg_kills,Avg_deaths,Avg_assists,CSM,GPM,KP%,DMG%,Gold%,VS%,DPM,VSPM,Avg_WPM,Avg_WCPM,Avg_VWPM,GD@15,CSD@15,XPD@15,FB_%,FB_Victim,Penta_Kills,Solo_Kills,SeasonYear,Split,SourceURL
BAO,KR,47,44.70%,3.2,3.8,2.2,3.2,9.3,418,58.90%,22.40%,23.80%,13.10%,431,1.03,0.44,0.33,0.11,-395,-10,-383,19.10%,8.50%,0,3,2021,Spring,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%20Spring%202021/
Bang,KR,42,38.10%,3.2,3.6,2.3,3.6,8.8,412,57.70%,22.10%,23.60%,19.50%,411,1.61,0.76,0.39,0.21,-53,-5,31,23.80%,0%,0,4,2021,Spring,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%20Spring%202021/
Bay,KR,42,42.90%,2.9,1.6,2.5,5.6,8.3,362,62.90%,22.30%,21%,12.80%,415,1.01,0.52,0.17,0.25,-666,-15,-363,16.70%,4.80%,0,3,2021,Spring,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%20Spring%202021/
Bdd,KR,41,68.30%,5.2,3,1.6,5.2,9.2,407,62.80%,28.40%,21.90%,12.70%,508,1.11,0.48,0.23,0.2,181,5,171,12.20%,7.30%,0,10,2021,Spring,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%20Spring%202021/
BeryL,KR,43,76.70%,2.9,1.2,3.5,9,1.8,258,66.60%,9.70%,13.60%,30.70%,219,2.63,1.54,0.47,0.52,176,1,153,32.60%,18.60%,0,-,2021,Spring,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%20Spring%202021/
Bonnie,KR,6,33.30%,1.9,2.3,2.8,3.2,5.9,330,61.40%,14.90%,19.30%,24.90%,254,1.92,0.88,0.55,0.36,-565,-11,-655,0%,16.70%,0,1,2021,Spring,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%20Spring%202021/
Canna,KR,25,60%,3.1,2.8,2.8,5.9,8.2,397,60.90%,23%,21.50%,12.60%,435,1.03,0.4,0.2,0.19,47,1,175,28%,24%,0,4,2021,Spring,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%20Spring%202021/
Canyon,KR,43,76.70%,4.6,3.7,2.2,6.7,7.2,387,68.60%,19.90%,20.40%,20.40%,422,1.75,0.57,0.47,0.31,357,10,586,32.60%,7%,0,5,2021,Spring,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%20Spring%202021/
Chieftain,KR,3,0%,0.9,1.3,4,2.3,7.4,324,83.30%,22.50%,21.70%,19.70%,308,1.51,0.35,0.53,0.24,-610,7,71,33.30%,0%,0,-,2021,Spring,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%20Spring%202021/
Chovy,KR,44,59.10%,5.4,3.6,1.8,6,10,447,65.90%,28.20%,24.50%,17.50%,589,1.48,0.51,0.44,0.2,596,14,420,22.70%,6.80%,0,19,2021,Spring,https://gol.gg/players/list/season-ALL/split-ALL/tournament-LCK%20Spring%202021/
